"municipality","votes","parties","file","district"
"札幌市中央区",8535,"公明党","000520875.xls","北海道"
"札幌市中央区",8650,"新党大地","000520875.xls","北海道"
"札幌市中央区",9299,"日本共産党","000520875.xls","北海道"
"札幌市中央区",35269,"自由民主党","000520875.xls","北海道"
"札幌市中央区",13543,"希望の党","000520875.xls","北海道"
"札幌市中央区",4555,"日本維新の会","000520875.xls","北海道"
"札幌市中央区",33049,"立憲民主党","000520875.xls","北海道"
"札幌市中央区",514,"幸福実現党","000520875.xls","北海道"
"札幌市中央区",1436,"社会民主党","000520875.xls","北海道"
"札幌市中央区",114850,"得票数計","000520875.xls","北海道"
"札幌市北区（1区）",149,"公明党","000520875.xls","北海道"
"札幌市北区（1区）",208,"新党大地","000520875.xls","北海道"
"札幌市北区（1区）",298,"日本共産党","000520875.xls","北海道"
"札幌市北区（1区）",1141,"自由民主党","000520875.xls","北海道"
"札幌市北区（1区）",357,"希望の党","000520875.xls","北海道"
"札幌市北区（1区）",172,"日本維新の会","000520875.xls","北海道"
"札幌市北区（1区）",1036,"立憲民主党","000520875.xls","北海道"
"札幌市北区（1区）",12,"幸福実現党","000520875.xls","北海道"
"札幌市北区（1区）",57,"社会民主党","000520875.xls","北海道"
"札幌市北区（1区）",3430,"得票数計","000520875.xls","北海道"
"札幌市北区（2区）",14968,"公明党","000520875.xls","北海道"
"札幌市北区（2区）",9058,"新党大地","000520875.xls","北海道"
"札幌市北区（2区）",13061,"日本共産党","000520875.xls","北海道"
"札幌市北区（2区）",35888,"自由民主党","000520875.xls","北海道"
"札幌市北区（2区）",19948,"希望の党","000520875.xls","北海道"
"札幌市北区（2区）",6000,"日本維新の会","000520875.xls","北海道"
"札幌市北区（2区）",33862,"立憲民主党","000520875.xls","北海道"
"札幌市北区（2区）",601,"幸福実現党","000520875.xls","北海道"
"札幌市北区（2区）",1681,"社会民主党","000520875.xls","北海道"
"札幌市北区（2区）",135067,"得票数計","000520875.xls","北海道"
"札幌市東区",13778,"公明党","000520875.xls","北海道"
"札幌市東区",8425,"新党大地","000520875.xls","北海道"
"札幌市東区",14031,"日本共産党","000520875.xls","北海道"
"札幌市東区",33689,"自由民主党","000520875.xls","北海道"
"札幌市東区",17354,"希望の党","000520875.xls","北海道"
"札幌市東区",5429,"日本維新の会","000520875.xls","北海道"
"札幌市東区",28046,"立憲民主党","000520875.xls","北海道"
"札幌市東区",534,"幸福実現党","000520875.xls","北海道"
