"municipality","votes","candidate","parties","file","district"
"札幌市中央区",53200,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市中央区",59879,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市北区(1区)",1577,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市北区(1区)",1808,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市南区",36229,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市南区",38906,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市西区（1区）",29981,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市西区（1区）",38517,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"北海道第１区 合計",120987,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"北海道第１区 合計",139110,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市北区（2区）",40995,"松木　けんこう","希望の党","000520874.xls","北海道第２区"
"札幌市北区（2区）",11195,"こわだ　康文","日本維新の会","000520874.xls","北海道第２区"
"札幌市北区（2区）",26811,"金倉　まさとし","日本共産党","000520874.xls","北海道第２区"
"札幌市北区（2区）",53706,"よしかわ　貴盛","自由民主党","000520874.xls","北海道第２区"
"札幌市東区",33430,"松木　けんこう","希望の党","000520874.xls","北海道第２区"
"札幌市東区",10448,"こわだ　康文","日本維新の会","000520874.xls","北海道第２区"
"札幌市東区",25815,"金倉　まさとし","日本共産党","000520874.xls","北海道第２区"
"札幌市東区",51118,"よしかわ　貴盛","自由民主党","000520874.xls","北海道第２区"
"北海道第２区 合計",74425,"松木　けんこう","希望の党","000520874.xls","北海道第２区"
"北海道第２区 合計",21643,"こわだ　康文","日本維新の会","000520874.xls","北海道第２区"
"北海道第２区 合計",52626,"金倉　まさとし","日本共産党","000520874.xls","北海道第２区"
"北海道第２区 合計",104824,"よしかわ　貴盛","自由民主党","000520874.xls","北海道第２区"
"札幌市白石区",52128,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"札幌市白石区",42818,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"札幌市豊平区",56900,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"札幌市豊平区",50228,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"札幌市清田区",32652,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"札幌市清田区",25915,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"北海道第３区 合計",141680,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"北海道第３区 合計",118961,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"札 幌 市 西 区 第（４区）",16819,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"札 幌 市 西 区 第（４区）",17032,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"札 幌 市 西 区 第（４区）",6662,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"札幌市手稲区",31396,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"札幌市手稲区",29754,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"札幌市手稲区",11888,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"小樽市",26023,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"小樽市",26629,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"小樽市",8403,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"島牧村",294,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"島牧村",540,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"島牧村",91,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"寿都町",527,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"寿都町",1067,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"寿都町",133,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"黒松内町",669,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"黒松内町",904,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"黒松内町",173,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"蘭越町",1180,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"蘭越町",1545,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"蘭越町",333,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"ニセコ町",1077,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"ニセコ町",1242,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"ニセコ町",334,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"真狩村",400,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"真狩村",770,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
